index,question,ground_truth,prediction,correct
0, Inquiring about the status or information regarding the redline.,Ambivalent,Clear Non-Reply,False
1,Will you invite them to the White House to negotiate on the jobs bill?,Ambivalent,Ambivalent,True
2,Why was it necessary for Japan to drop the threat of sanctions from its proposed Security Council resolution about North Korea?,Ambivalent,Ambivalent,True
3,When will we see this resolution?,Ambivalent,Ambivalent,True
4,Updating the figure of Iraqi deaths,Ambivalent,Ambivalent,True
5,Do you think the Republican leader in the House owes somebody an apology?,Ambivalent,Ambivalent,True
6,Do you ever feel like the walls are closing in on you in terms of support for this?,Ambivalent,Clear Non-Reply,False
7, Is the demand for Israeli troops to pull out immediately negotiable?,Ambivalent,Ambivalent,True
8,What are you offering the Arab nations to encourage them to participate?,Ambivalent,Ambivalent,True
9,Isn't Tehran's influence in the region growing despite your efforts to curb it?,Ambivalent,Clear Reply,False
10,. Has he changed?,Ambivalent,Clear Reply,False
11,Shape of the multinational force,Clear Reply,PARSE_ERROR,False
12,Do you see any contradictory evidence in the culture?,Ambivalent,Ambivalent,True
13,What have they achieved and what will they leave behind for their successors?,Clear Reply,Ambivalent,False
14,Are you willing to acknowledge that a change may be needed?,Ambivalent,Clear Reply,False
15,Messages for the Governments of Iran and Syria,Clear Reply,Clear Reply,True
16,What is your philosophy on granting Presidential pardons?,Ambivalent,Ambivalent,True
17,Would you campaign against Senator Joe Lieberman on Iraq?,Ambivalent,Clear Non-Reply,False
18,Would you veto the bill if it passes in the form that the Armed Services Committee approved yesterday?,Ambivalent,Clear Non-Reply,False
19,What makes this more than a piece of paper if you don't have the will of the international community to back it up?,Ambivalent,Ambivalent,True
20, Fear and concern in Israel that the administration will not take necessary action against Iran due to the duration and unpopularity of the war in Iraq.,Ambivalent,Ambivalent,True
21,Was this coordinated with you?,Clear Reply,Clear Reply,True
22,. What are the odds for a guest-worker provision?,Ambivalent,Clear Non-Reply,False
23,"Are you concerned that the fiscal pressures the United States is under at the moment may compromise its ability to sustain its plans for the region, including the initiatives announced today?",Ambivalent,Clear Non-Reply,False
24,"What is the hook to get Hizballah to accept a cease-fire, stop shooting, and stop kidnapping soldiers from across the border of another country?",Ambivalent,Ambivalent,True
25,What is the outlook in your view when you will be presenting your first report?,Ambivalent,Ambivalent,True
26,When are you going to tell the Israelis to stop destroying houses in Lebanon?,Ambivalent,Ambivalent,True
27,Do you have to take those with something of a grain of salt until the supercommittee process is concluded?,Ambivalent,Clear Non-Reply,False
28,Why do you still say there is a relationship between them?,Ambivalent,Ambivalent,True
29,"Mr. President, if the EU does not receive a definitive answer from Iran on the incentives package by next week, do you foresee the G-8 summit as being a springboard to bring that issue to the U.N. Security Council?",Clear Non-Reply,Ambivalent,False
30, New Policy on Intercepting North Korean Ships,Clear Reply,Ambivalent,False
31,How do you measure progress with a body count like that?,Ambivalent,Clear Non-Reply,False
32,Why would you agree with Senator McCain or Senator Obama?,Clear Non-Reply,Clear Non-Reply,True
33,What do you say to people who say more troops in Iraq would increase the sectarian split and not calm things down?,Ambivalent,Ambivalent,True
34,Are you still willing to follow a path that seems to be in opposition to the will of the American people?,Ambivalent,PARSE_ERROR,False
35,How much of a political price do you think you're paying for that right now?,Ambivalent,Ambivalent,True
36,Is it no longer important to track him down?,Clear Reply,Clear Non-Reply,False
37,New instructions for Secretary Rice's visit to the region,Ambivalent,Clear Reply,False
38,What message do you hope this summit sends to Senator Jon Kyl and other Republicans in the Senate who are resisting voting on and ratifying START in the lame duck session?,Ambivalent,Ambivalent,True
39,"Role of China in Africa's development and its positive aspects, areas of improvement, and stance on human rights issues and corruption.",Ambivalent,Ambivalent,True
40,Potential impact on the President's viewpoint,Ambivalent,Ambivalent,True
41,"Did Prime Minister Olmert present positions to Mr. Bush that contradict those of the Americans, and is there concern that his recent statement suggests his hands are tied when it comes to Iran?",Ambivalent,Ambivalent,True
42,Do you and the President believe that Israel is on the right side in the war on terror?,Ambivalent,Ambivalent,True
43,Other financial steps the President is prepared to take if the rate cut is deemed insufficient,Ambivalent,Ambivalent,True
44, Has it improved the chances of something like Mideast peace?,Ambivalent,Ambivalent,True
45,. Efforts President Lee Myung-bak intends to employ to reach an agreement,Ambivalent,Ambivalent,True
46,Concern about financial institutions seeking investments from foreign government-controlled funds.,Clear Reply,PARSE_ERROR,False
47,Will you pressure the French to contribute more troops?,Ambivalent,Ambivalent,True
48,Is there any chance of getting a deal?,Ambivalent,Ambivalent,True
49,Will the prison close?,Clear Non-Reply,Ambivalent,False
50,What sort of cooperation do you think is possible between the U.S. and Japan to address the abduction issue?,Ambivalent,Ambivalent,True
51,How do you feel about Plan B in general?,Clear Reply,Clear Reply,True
52,"Can you continue to sustain the kind of level of spending that you've invested in, in Iraq?",Ambivalent,Ambivalent,True
53,What is the magnet?,Ambivalent,Ambivalent,True
54,Addressing the desire of Cuban exiles to go home and reclaim their property.,Clear Reply,Ambivalent,False
55,Revisiting immigration in a lame-duck session after the election,Ambivalent,Ambivalent,True
56," Why wouldn't you be frustrated, sir, about what's happening?",Clear Non-Reply,Clear Non-Reply,True
57,Administration's contingency plans for his death,Ambivalent,Clear Non-Reply,False
58,Performance of the Fed in handling the financial crisis,Clear Reply,Clear Reply,True
59,What do you say to people who are losing patience with gas prices at $3 a gallon?,Ambivalent,Ambivalent,True
60, Request for permission to ask another question on veterans.,Clear Reply,Clear Non-Reply,False
61,Permission to direct a question to President Hu.,Clear Reply,Clear Reply,True
62,"And to President Karzai, if I might, what do you think of President Musharraf's comments that you need to get to know your own country better when you're talking about where terror threats and the Taliban threat is coming from?",Ambivalent,Clear Non-Reply,False
63, Has House Speaker Hastert lost touch within his own ranks?,Clear Reply,Clear Reply,True
64,Will the President pledge to the family of Corporal Pat Tillman that the government and administration will finally get to the bottom of his death?,Ambivalent,Ambivalent,True
65,"Mr. Harper, can you comment in French and English, please?",Ambivalent,Ambivalent,True
66,How do you see the situation with the Iranian nuclear issue as of now?,Clear Reply,Ambivalent,False
67,Are the individuals satisfied with the assurances given on the tribal deal?,Clear Reply,Clear Reply,True
68,What remains to be done?,Ambivalent,Ambivalent,True
69,What did you mean by 'Third Awakening'?,Clear Reply,Ambivalent,False
70, Asking about the President's feelings towards war rhetoric and going to war with Iraq.,Clear Reply,Clear Reply,True
71,Opinion on the potential duration of the diplomacy process,Clear Non-Reply,Clear Non-Reply,True
72,Reappointment of U.S. Attorney Patrick Fitzgerald,Clear Non-Reply,Ambivalent,False
73,Do you stand by this choice?,Clear Reply,Ambivalent,False
74,Are you considering a plan to cut corporate taxes?,Ambivalent,Ambivalent,True
75,What do you think about Senator McCain's statement that your plan will put U.S. troops at risk?,Ambivalent,Ambivalent,True
76,What are we to expect in the future regarding the Iranian nuclear issue?,Clear Reply,Ambivalent,False
77,"If it's not time yet, what is the threshold?",Ambivalent,Ambivalent,True
78,Do you believe that the previous administration sanctioned torture?,Ambivalent,Clear Non-Reply,False
79,Why not call for an emergency energy summit and lift the issue to a higher priority?,Ambivalent,Ambivalent,True
80,Why would the international force not include U.S. troops?,Clear Reply,Ambivalent,False
81,Can't you be accused of hyping this threat?,Ambivalent,Ambivalent,True
82,Asking about what has happened to America's clout in the region and why the actions and words of the President are being ignored.,Ambivalent,Ambivalent,True
83,Has the U.S. reached out to Grand Ayatollah Ali al-Sistani?,Ambivalent,Clear Non-Reply,False
84,"Can you now tell us, where was it headed?",Clear Non-Reply,Clear Non-Reply,True
85,Why does the asker request Israel to accept United Nations resolutions related to the Palestinian problem in order to facilitate a solution and end the occupation?,Ambivalent,Ambivalent,True
86,Concern about triggering a wider Middle East war,Ambivalent,Ambivalent,True
87, Do you think it's working now the way it's going?,Clear Reply,Clear Reply,True
88,"Mr. President, after 9/11, would the United States have actually attacked Pakistan if President Musharraf had not agreed to cooperate with the war on terrorism? He says that the United States was threatening to bomb his country back into the Stone Age.",Clear Non-Reply,Ambivalent,False
89,Blame for a government shutdown,Clear Reply,Clear Reply,True
90, Is there anything you wish you would have done differently with regard to Iraq?,Clear Reply,Ambivalent,False
91,The potential complications in keeping pressure on Iran's sanctions at the United Nations,Ambivalent,Ambivalent,True
92,Or have you and Musharraf worked out some deal about this already?,Ambivalent,Clear Non-Reply,False
